product_id,product_name,price,cost_price,created_at,updated_at
PROD-101,Multivitamins,31.91,22.34,2024-12-25,2024-12-25
PROD-102,Vitamin C,61.09,42.76,2024-09-21,2024-09-21
PROD-103,Vitamin D3,65.28,45.7,2024-12-28,2024-12-28
PROD-104,Omega-3,29.52,20.66,2024-03-09,2024-03-09
PROD-105,Probiotics,15.47,10.83,2024-11-30,2024-11-30
PROD-106,Vitamin B12,49.09,34.36,2024-03-25,2024-03-25
PROD-107,Magnesium,34.78,24.35,2024-10-23,2024-10-23
PROD-108,Zinc,62.83,43.98,2024-10-18,2024-10-18
PROD-109,Collagen,30.55,21.38,2024-08-13,2024-08-13
PROD-110,Protein,56.62,39.63,2024-02-25,2024-02-25
